Project Reference,Academic Year,Mobility Start Month,Mobility End Month,Mobility Duration,Activity (mob),Field of Education,Participant Nationality,Education Level,Participant Gender,Participant Profile,Special Needs,Fewer Opportunities,GroupLeader,Participant Age,Sending Country Code,Sending City,Sending Organization,Sending Organisation Erasmus Code,Receiving Country Code,Receiving City,Receiving Organization,Receiving Organisation Erasmus Code,Participants
2017-1-PT01-KA103-035561,2018-2019,2018-02,2018-06,113.0,Student mobility for studies between Programme Countries,"Business and administration, not further defined",PT,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,Learner,No,No,No,21,PT,FARO,UNIVERSIDADE DO ALGARVE,P  FARO02,PL,POZNAN,UNIWERSYTET EKONOMICZNY W POZNANIU,PL POZNAN03,1.0
2018-1-AT01-KA103-038802,2018-2019,2018-06,2018-08,62.0,Student mobility for traineeships between Programme Countries,Food processing,AT,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Learner,No,No,No,20,AT,WIEN,UNIVERSITAET FUER BODENKULTUR WIEN,A  WIEN03,IE,Galway,NATIONAL UNIVERSITY OF IRELAND GALWAY,-,1.0
2014-2-UK01-KA105-001458,2015-2016,2015-01,2015-01,12.0,Youth Exchanges - Partner Countries,? Unknown ?,BY,??? - ? Unknown ?,Male,Learner,No,Yes,No,21,BY,Mogilev,Young leaders of Mogilev,-,AZ,SIRVAN,Association of Sirvan Youth,-,4.0
2017-1-FR01-KA103-035756,2017-2018,2017-09,2018-06,257.0,Student mobility for studies between Programme Countries,"Engineering and engineering trades, not further defined",FR,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,Learner,No,No,No,21,FR,GIF SUR YVETTE,CENTRALESUPELEC,F  GIF-YVE03,UK,CAMBRIDGE,"THE CHANCELLOR, MASTERS AND SCHOLARS OF THE UNIVERSITY OF CAMBRIDGE",UK CAMBRID01,1.0
2014-1-IT02-KA103-000159,2014-2015,2014-08,2015-07,320.0,Student mobility for studies between Programme Countries,Pharmacy,IT,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,Learner,No,No,No,29,IT,FISCIANO SA,UNIVERSITA DEGLI STUDI DI SALERNO,I  SALERNO01,FR,CAEN CEDEX 05,UNIVERSITE DE CAEN BASSE-NORMANDIE,F  CAEN01,1.0
2016-3-IT03-KA105-009617,2017-2018,2017-05,2017-05,9.0,Youth Exchanges - Programme Countries,? Unknown ?,IT,??? - ? Unknown ?,Female,Learner,No,No,Yes,39,IT,Borgomanero,Vedogiovane Società Cooperativa Sociale,-,IT,Borgomanero,Vedogiovane Società Cooperativa Sociale,-,1.0
2017-2-DE04-KA105-015398,2017-2018,2017-08,2017-08,6.0,Youth Exchanges - Programme Countries,? Unknown ?,FR,??? - ? Unknown ?,Female,Learner,No,No,Yes,19,FR,MARMOUTIER,ASSOCIATION COMMUNES SANS FRONTIERES,-,DE,Sasbachwalden,Gemeinde Sasbachwalden,-,1.0
2014-1-LT01-KA103-000003,2014-2015,2014-09,2015-03,198.0,Student mobility for studies between Programme Countries,Audio-visual techniques and media production,LT,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Learner,No,No,No,23,LT,VILNIUS,LIETUVOS MUZIKOS IR TEATRO AKADEMIJA,LT VILNIUS05,DE,LEIPZIG,UNIVERSITAET LEIPZIG,D  LEIPZIG01,1.0
2015-1-BG01-KA103-013920,2016-2017,2016-06,2016-07,5.0,Staff mobility for teaching between Programme Countries,"Business and administration, not further defined",BG,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Staff,No,No,No,-,BG,SOFIA,NEW BULGARIAN UNIVERSITY,BG SOFIA02,IT,BOLOGNA,ALMA MATER STUDIORUM - UNIVERSITA DI BOLOGNA,I  BOLOGNA01,1.0
2018-1-ES01-KA103-048125,2018-2019,2018-10,2019-07,290.0,Student mobility for studies between Programme Countries,Audio-visual techniques and media production,ES,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,Learner,No,No,No,31,ES,VALENCIA,UNIVERSITAT POLITECNICA DE VALENCIA,E  VALENCI02,DE,Bremen,UNIVERSITAET BREMEN,-,1.0
