id,price_tnd,price_eur,location,city,governorate,Area,pieces,room,bathroom,age,state,latt,long,distance_to_capital,garage,garden,concierge,beach_view,mountain_view,pool,elevator,furnished,equipped_kitchen,central_heating,air_conditioning
b9e1c759-d149-46e8-9765-d8c198a13ff0,,,Cité El Bassatine Ancien,Boumhel Bassatine,Ben Arous,,27,8,,,,36.57724,10.34246,30.8152660477654,0,0,0,0,0,0,0,0,0,0,0
863e62e5-0bfe-49f3-ad97-e0ae91be68e9,3250000,1007500,El Kantaoui,Hammam Sousse, Sousse,1000,26,16,14,30-50 ,1,35.898175,10.58025,108.792931586895,1,0,1,1,0,0,1,1,1,1,1
0048e6da-9aec-4ebe-8ee1-1ad7cd0015e6,2000000,620000,Sousse Corniche,Sousse Ville, Sousse,932,24,24,10,,1,35.8272913012201,10.6339,118.317746751798,0,0,0,0,0,0,0,1,1,1,1
032f818f-1b38-4d1a-a000-753e235ccf54,2000000,620000,Sousse Corniche,Sousse Ville, Sousse,932,24,24,,,,35.8273,10.6339,118.316885677645,0,0,0,0,0,0,0,1,1,1,1
2272576f-fb3b-4c82-8a0e-a00fe2e7c154,2000000,620000,Sousse Corniche,Sousse Ville, Sousse,932,24,24,10,,1,35.8273,10.6339,118.316885677645,0,0,0,0,0,0,0,1,1,1,1
67e06050-57c0-4665-8a2e-a9010b578e4a,1000000,310000,Sousse Riadh,Sousse Riadh, Sousse,1000,23,16,9,1-5 ,2,35.81433,10.63392,119.603210703078,1,0,0,0,0,0,0,0,0,0,0
0a649ac8-6916-48b6-969a-2f64f93aa2e1,,,Sidi El Mahrsi,Nabeul,Nabeul,3600,21,20,20,,2,36.45056,10.73505,72.8250683705131,1,0,0,1,0,1,0,0,1,1,1
8fb98dd1-d1e7-4eeb-92db-abf1fbbc23af,1200000,372000,Midoun,,Djerba,370,21,9,5,,,33.866667,10.85,329.885067333887,1,0,0,0,0,1,0,0,0,0,0
ec1cd875-3879-41a6-b5b4-fb3aa195b4ba,3200000,992000,El Kantaoui,Hammam Sousse, Sousse,1899,20,5,7,,1,35.8569,10.5972,113.681036216882,0,0,0,0,0,1,0,0,1,1,1
de92d8e9-2b56-4ca9-94b0-f0f8d26c2449,,,Le Bardo,Le Bardo,tunis,631,20,14,5,0,2,36.8088699608564,10.1365016931152,5.01030273368736,1,0,0,0,0,0,0,0,1,1,1
cc6d109b-1b8d-4728-90c7-c05173900623,2000000,620000,Kélibia,,Nabeul,462,20,12,13,1-5 ,2,36.8941992,10.2762232,14.249053168265,0,0,0,1,0,0,0,1,1,1,1
da303b71-fba9-42e9-a236-16ec176309d9,1200000,372000,Bou Mhel,Boumhel Bassatine,Ben Arous,510,18,14,4,5-10 ,1,36.57724,10.34246,30.8152660477654,1,0,0,0,1,0,0,0,0,1,0
2181639e-fe95-4529-bc55-fb63e6db5971,990000,306900,Aouina,La Marsa,tunis,500,18,11,5,,1,36.876389,10.325278,17.7221901283016,1,0,0,0,0,0,0,0,0,0,0
04f71401-4a15-4168-864f-5ba72214a713,,,Le Bardo,Le Bardo,tunis,1280,17,11,6,,1,36.83017,10.13736,5.54992694975533,1,0,1,0,0,1,0,1,1,1,1
6f47bc65-95d3-483f-a1b4-96ae35e65e2d,,,Rejiche,,Mahdia,698,17,12,6,0,2,35.3581191,10.7299779,169.71444047947,1,0,0,1,0,1,0,1,1,1,1
44a40e13-7b47-418f-89e6-405124501b21,,,Sousse Riadh,Sousse Riadh, Sousse,600,17,10,5,5-10 ,1,35.8014603,10.5952003,119.160485214494,1,0,0,0,0,0,0,0,0,0,0
ffc63109-309e-4026-aecf-6ccb22447c38,950000,294500,El Gourjani,Tunis,tunis,538,17,16,5,30-50 ,1,36.81881,10.16596,2.19113226059161,0,0,0,0,0,0,0,0,0,0,0
dbe028f8-1529-4cb5-8df1-ec59d53eb768,,,Le Bardo,Le Bardo,tunis,500,17,11,6,0,2,36.8144703,10.1344725,5.30148623956287,1,0,1,0,1,0,0,0,1,0,1
12c80a59-8f9d-4cee-9554-eeae7aa3ab9c,650000,201500,Raoued,Raoued,Ariana,400,17,9,4,1-5 ,2,36.9575109148325,10.2257441043854,17.2428208849554,1,0,0,0,0,0,0,0,1,1,1
063e6c98-7885-4085-9383-f3bc7979f3b5,110000,34100,Tezdaine,,Djerba,220,17,9,4,5-10 ,1,33.8039664,11.0400653,341.757988160383,0,0,0,0,0,1,0,1,1,0,1
299f72f1-e107-4852-8b10-e90e1d207c36,2200000,682000,Hammamet,Hammamet,Nabeul,1000,16,6,6,1-5 ,1,36.40108,10.61457,65.4597220191691,1,0,0,0,0,1,0,0,1,1,1
160bfa7c-355a-426f-ba71-0b4ac44e75a5,1950000,604500,Riadh al Andalous,Ariana Ville,Ariana,800,16,10,8,0,2,36.8625,10.19556,6.32498837542227,0,0,0,0,1,1,0,0,1,1,1
